Customer,Part,Description,Job,Qty,Start Week of,Target Ship,Rate per hr,Hours,Notes,,
Eli Lilly,TA0038-Q,Overmolded Stopper for STPWB2-125-1L-G and STPWB2-125-1L,029784,50,3/23/2026,4/20/2026,18,4,,,
Eli Lilly,TA0053-H,Overmolded stopper for STPWB2-125-2L-G and STPWB2-125-2L,029786,50,3/23/2026,4/20/2026,18,4,,,
Eli Lilly,TA0038-P,Overmolded stopper for STPWB2-125-500mL-G and STPWB2-125-500mL,029788,75,3/30/2026,4/20/2026,18,5,,,
Repligen,REP-STP401,Stopper for 1L Nalgene Bottle,032259,120,3/30/2026,4/17/2026,10,13,,,
Northstar,1157-SUB-A,"Custom 25mm Stopper, 2 Port",032051,200,4/6/2026,4/20/2026,20,11, ,,
Northstar,1052-SUB-A,"Custom 14mm Stopper, 2 Port",032055,200,4/6/2026,4/20/2026,20,11,,,
Chemglass,CGL-MDRDCP02,CHEMGLASS LIFE SCIENCES Reducing Overmold Coupling,32276,50,4/13/2026,4/30/2026,15,4, ,,
CPI,140006382,"1/2"" HB / 1/2"" TC WYE FITTING",032004,176,4/13/2026,4/27/2026,15,12,,,
CPI,TA0083-A-PM,83mm Overmolded stopper for STPNB2-,032006,65,4/13/2026,4/27/2026,15,5,,,
Northstar,1157-SUB-A,"Custom 25mm Stopper, 2 Port",032269,200,4/27/2026,5/11/2026,20,11, ,,
Northstar,1052-SUB-A,"Custom 14mm Stopper, 2 Port",032272,200,4/27/2026,5/11/2026,20,11,,,
CPI,TA0083-A-PM,83mm Overmolded stopper for STPNB2-,032378,180,5/4/2026,5/26/2026,18,11,,,
CPI,140006382,"1/2"" HB / 1/2"" TC WYE FITTING",032400,50,5/4/2026,5/26/2026,15,4,,,
CPI,TA0038-P,Overmolded stopper for STPWB2-125-,032443,292,5/4/2026,5/26/2026,18,17,,,
Intellitech,M1-01340,"HEAD, 10ML MICRO MOLDED",031467,300,6/1/2026,6/11/2026,55,6,,,
Intellitech,M1-01339,"BASE, 10ML MICRO MOLDED",031468,300,6/1/2026,6/11/2026,55,6,,,
Sterility,S-SUB01,STERILITY Q2,030593-ST,20,6/1/2026,6/30/2026,15,2,,,
Sterility,S-SUB02,STERILITY Q2,030594-ST,20,6/1/2026,6/30/2026,20,2,,,
Sterility,S-SUB04,STERILITY Q2,030596-ST,20,6/1/2026,6/30/2026,20,2,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
